DT,Kasus (Kumulatif),Kasus Baru,Sembuh (baru),Meninggal (baru)
2020-03-02 00:00:00,2,2,,
2020-03-03 00:00:00,2,,,
2020-03-04 00:00:00,2,,,
2020-03-05 00:00:00,2,,,
2020-03-06 00:00:00,4,2,,
2020-03-07 00:00:00,4,,,
2020-03-08 00:00:00,6,2,,
2020-03-09 00:00:00,19,13,,
2020-03-10 00:00:00,27,8,,
2020-03-11 00:00:00,34,7,2,2
2020-03-12 00:00:00,34,,1,2
2020-03-13 00:00:00,69,35,2,
2020-03-14 00:00:00,96,27,3,1
2020-03-15 00:00:00,117,21,,
2020-03-16 00:00:00,134,17,,
2020-03-17 00:00:00,172,38,1,2
2020-03-18 00:00:00,227,55,2,12
2020-03-19 00:00:00,309,82,4,6
2020-03-20 00:00:00,369,60,1,7
2020-03-21 00:00:00,450,81,4,6
2020-03-22 00:00:00,514,64,9,10
